key,value
ISO3,ZMB
HDR Country Name,Zambia
Human Development Groups,Medium
UNDP Developeing Regions,SSA
HDI Rank (2022),153
Human Development Index (value) (1990),0.417
Human Development Index (value) (1991),0.411
Human Development Index (value) (1992),0.408
Human Development Index (value) (1993),0.412
Human Development Index (value) (1994),0.407
Human Development Index (value) (1995),0.407
Human Development Index (value) (1996),0.409
Human Development Index (value) (1997),0.41
Human Development Index (value) (1998),0.409
Human Development Index (value) (1999),0.412
Human Development Index (value) (2000),0.418
Human Development Index (value) (2001),0.426
Human Development Index (value) (2002),0.434
Human Development Index (value) (2003),0.448
Human Development Index (value) (2004),0.459
Human Development Index (value) (2005),0.472
Human Development Index (value) (2006),0.484
Human Development Index (value) (2007),0.495
Human Development Index (value) (2008),0.506
Human Development Index (value) (2009),0.519
Human Development Index (value) (2010),0.528
Human Development Index (value) (2011),0.534
Human Development Index (value) (2012),0.548
Human Development Index (value) (2013),0.554
Human Development Index (value) (2014),0.557
Human Development Index (value) (2015),0.563
Human Development Index (value) (2016),0.564
Human Development Index (value) (2017),0.568
Human Development Index (value) (2018),0.571
Human Development Index (value) (2019),0.574
Human Development Index (value) (2020),0.569
Human Development Index (value) (2021),0.565
Human Development Index (value) (2022),0.569
Life Expectancy at Birth (years) (1990),47.926
Life Expectancy at Birth (years) (1991),47.097
Life Expectancy at Birth (years) (1992),46.512
Life Expectancy at Birth (years) (1993),46.209
Life Expectancy at Birth (years) (1994),45.854
Life Expectancy at Birth (years) (1995),45.553
Life Expectancy at Birth (years) (1996),45.233
Life Expectancy at Birth (years) (1997),44.945
Life Expectancy at Birth (years) (1998),44.701
Life Expectancy at Birth (years) (1999),44.659
Life Expectancy at Birth (years) (2000),45.231
Life Expectancy at Birth (years) (2001),46.019
Life Expectancy at Birth (years) (2002),46.979
Life Expectancy at Birth (years) (2003),48.284
Life Expectancy at Birth (years) (2004),49.487
Life Expectancy at Birth (years) (2005),50.659
Life Expectancy at Birth (years) (2006),51.795
Life Expectancy at Birth (years) (2007),52.739
Life Expectancy at Birth (years) (2008),53.945
Life Expectancy at Birth (years) (2009),55.3
Life Expectancy at Birth (years) (2010),56.799
Life Expectancy at Birth (years) (2011),57.771
Life Expectancy at Birth (years) (2012),58.867
Life Expectancy at Birth (years) (2013),59.878
Life Expectancy at Birth (years) (2014),60.699
Life Expectancy at Birth (years) (2015),61.208
Life Expectancy at Birth (years) (2016),61.794
Life Expectancy at Birth (years) (2017),62.12
Life Expectancy at Birth (years) (2018),62.342
Life Expectancy at Birth (years) (2019),62.793
Life Expectancy at Birth (years) (2020),62.38
Life Expectancy at Birth (years) (2021),61.223
Life Expectancy at Birth (years) (2022),61.803
Expected Years of Schooling (years) (1990),7.79542017
Expected Years of Schooling (years) (1991),7.854483475
Expected Years of Schooling (years) (1992),7.91354678
Expected Years of Schooling (years) (1993),7.972610085
Expected Years of Schooling (years) (1994),8.03167339
Expected Years of Schooling (years) (1995),8.090736695
Expected Years of Schooling (years) (1996),8.1498
Expected Years of Schooling (years) (1997),8.252778915
Expected Years of Schooling (years) (1998),8.355757831
Expected Years of Schooling (years) (1999),8.458736746
Expected Years of Schooling (years) (2000),8.561715662
Expected Years of Schooling (years) (2001),8.664694577
Expected Years of Schooling (years) (2002),8.767673492
Expected Years of Schooling (years) (2003),9.211090851
Expected Years of Schooling (years) (2004),9.654508209
Expected Years of Schooling (years) (2005),10.09792557
Expected Years of Schooling (years) (2006),10.54134293
Expected Years of Schooling (years) (2007),10.98476028
Expected Years of Schooling (years) (2008),10.98731341
Expected Years of Schooling (years) (2009),10.98986653
Expected Years of Schooling (years) (2010),10.99241965
Expected Years of Schooling (years) (2011),10.99497277
Expected Years of Schooling (years) (2012),10.9975259
Expected Years of Schooling (years) (2013),11.00007902
Expected Years of Schooling (years) (2014),11.00263214
Expected Years of Schooling (years) (2015),11.00518704
Expected Years of Schooling (years) (2016),11.00774254
Expected Years of Schooling (years) (2017),11.01029862
Expected Years of Schooling (years) (2018),11.01285531
Expected Years of Schooling (years) (2019),11.01541258
Expected Years of Schooling (years) (2020),11.01797045
Expected Years of Schooling (years) (2021),11.01797045
Expected Years of Schooling (years) (2022),11.01797045
Mean Years of Schooling (years) (1990),4.481160164
Mean Years of Schooling (years) (1991),4.572166937
Mean Years of Schooling (years) (1992),4.66317371
Mean Years of Schooling (years) (1993),4.754180482
Mean Years of Schooling (years) (1994),4.845187255
Mean Years of Schooling (years) (1995),4.936194028
Mean Years of Schooling (years) (1996),5.027200801
Mean Years of Schooling (years) (1997),5.118207574
Mean Years of Schooling (years) (1998),5.209214347
Mean Years of Schooling (years) (1999),5.30022112
Mean Years of Schooling (years) (2000),5.391227892
Mean Years of Schooling (years) (2001),5.482234665
Mean Years of Schooling (years) (2002),5.573241438
Mean Years of Schooling (years) (2003),5.664248211
Mean Years of Schooling (years) (2004),5.755254984
Mean Years of Schooling (years) (2005),5.846261757
Mean Years of Schooling (years) (2006),5.93726853
Mean Years of Schooling (years) (2007),6.028275302
Mean Years of Schooling (years) (2008),6.119282075
Mean Years of Schooling (years) (2009),6.210288848
Mean Years of Schooling (years) (2010),6.301295621
Mean Years of Schooling (years) (2011),6.392302394
Mean Years of Schooling (years) (2012),6.483309167
Mean Years of Schooling (years) (2013),6.57431594
Mean Years of Schooling (years) (2014),6.665322712
Mean Years of Schooling (years) (2015),6.756329485
Mean Years of Schooling (years) (2016),6.847336258
Mean Years of Schooling (years) (2017),6.938343031
Mean Years of Schooling (years) (2018),7.029349804
Mean Years of Schooling (years) (2019),7.157121491
Mean Years of Schooling (years) (2020),7.284893177
Mean Years of Schooling (years) (2021),7.284893177
Mean Years of Schooling (years) (2022),7.284893177
Gross National Income Per Capita (2017 PPP$) (1990),2107.377323
Gross National Income Per Capita (2017 PPP$) (1991),1952.58334
Gross National Income Per Capita (2017 PPP$) (1992),1903.504771
Gross National Income Per Capita (2017 PPP$) (1993),2031.306647
Gross National Income Per Capita (2017 PPP$) (1994),1837.600116
Gross National Income Per Capita (2017 PPP$) (1995),1847.272074
Gross National Income Per Capita (2017 PPP$) (1996),1926.997628
Gross National Income Per Capita (2017 PPP$) (1997),1947.768259
Gross National Income Per Capita (2017 PPP$) (1998),1881.348762
Gross National Income Per Capita (2017 PPP$) (1999),1948.215386
Gross National Income Per Capita (2017 PPP$) (2000),1978.821232
Gross National Income Per Capita (2017 PPP$) (2001),2029.014079
Gross National Income Per Capita (2017 PPP$) (2002),2066.032149
Gross National Income Per Capita (2017 PPP$) (2003),2157.199829
Gross National Income Per Capita (2017 PPP$) (2004),2156.252472
Gross National Income Per Capita (2017 PPP$) (2005),2208.88053
Gross National Income Per Capita (2017 PPP$) (2006),2263.175765
Gross National Income Per Capita (2017 PPP$) (2007),2319.465537
Gross National Income Per Capita (2017 PPP$) (2008),2498.22856
Gross National Income Per Capita (2017 PPP$) (2009),2778.297758
Gross National Income Per Capita (2017 PPP$) (2010),2833.253144
Gross National Income Per Capita (2017 PPP$) (2011),2824.172498
Gross National Income Per Capita (2017 PPP$) (2012),3270.385114
Gross National Income Per Capita (2017 PPP$) (2013),3320.860732
Gross National Income Per Capita (2017 PPP$) (2014),3192.959658
Gross National Income Per Capita (2017 PPP$) (2015),3326.211349
Gross National Income Per Capita (2017 PPP$) (2016),3159.451506
Gross National Income Per Capita (2017 PPP$) (2017),3244.979459
Gross National Income Per Capita (2017 PPP$) (2018),3325.308024
Gross National Income Per Capita (2017 PPP$) (2019),3270.200936
Gross National Income Per Capita (2017 PPP$) (2020),3046.055722
Gross National Income Per Capita (2017 PPP$) (2021),3098.623658
Gross National Income Per Capita (2017 PPP$) (2022),3157.35862
GDI Group (2022),3
Gender Development Index (value) (1990),0.78
Gender Development Index (value) (1991),0.818
Gender Development Index (value) (1992),0.827
Gender Development Index (value) (1993),0.829
Gender Development Index (value) (1994),0.829
Gender Development Index (value) (1995),0.833
Gender Development Index (value) (1996),0.831
Gender Development Index (value) (1997),0.837
Gender Development Index (value) (1998),0.827
Gender Development Index (value) (1999),0.825
Gender Development Index (value) (2000),0.811
Gender Development Index (value) (2001),0.826
Gender Development Index (value) (2002),0.826
Gender Development Index (value) (2003),0.83
Gender Development Index (value) (2004),0.826
Gender Development Index (value) (2005),0.83
Gender Development Index (value) (2006),0.834
Gender Development Index (value) (2007),0.84
Gender Development Index (value) (2008),0.869
Gender Development Index (value) (2009),0.851
Gender Development Index (value) (2010),0.893
Gender Development Index (value) (2011),0.895
Gender Development Index (value) (2012),0.899
Gender Development Index (value) (2013),0.899
Gender Development Index (value) (2014),0.901
Gender Development Index (value) (2015),0.904
Gender Development Index (value) (2016),0.903
Gender Development Index (value) (2017),0.934
Gender Development Index (value) (2018),0.94
Gender Development Index (value) (2019),0.928
Gender Development Index (value) (2020),0.945
Gender Development Index (value) (2021),0.939
Gender Development Index (value) (2022),0.93
HDI female (1990),0.358824531
HDI female (1991),0.366522597
HDI female (1992),0.367393363
HDI female (1993),0.371020581
HDI female (1994),0.367076112
HDI female (1995),0.368791686
HDI female (1996),0.3702027
HDI female (1997),0.372782042
HDI female (1998),0.369347854
HDI female (1999),0.371901781
HDI female (2000),0.372244893
HDI female (2001),0.383717503
HDI female (2002),0.391027646
HDI female (2003),0.404588431
HDI female (2004),0.413678126
HDI female (2005),0.426305154
HDI female (2006),0.438351907
HDI female (2007),0.450053637
HDI female (2008),0.469789641
HDI female (2009),0.475404495
HDI female (2010),0.498353435
HDI female (2011),0.504115589
