Country Name,Time,GDP,Population,GDP_per_capita
Zambia,2004,59722466600.0,11188040,5338.063378393355
Zambia,2005,64043744800.0,11564870,5537.78337326749
Zambia,2006,69105566700.0,11971567,5772.474622578648
Zambia,2007,74877565100.0,12402073,6037.503980181377
Zambia,2008,80698469000.0,12852966,6278.587292614016
Zambia,2009,88139149000.0,13318087,6618.003696777172
Zambia,2010,97215915400.0,13792086,7048.673811923736
Zambia,2011,102630114864.675,14265814,7194.129606952327
Zambia,2012,110427315787.506,14744658,7489.310080132479
Zambia,2013,116012218077.292,15234976,7614.860573281639
Zambia,2014,121457000000.0,15737793,7717.537014243357
Zambia,2015,125004000000.0,16248230,7693.391834064388
Zambia,2016,129698025601.463,16767761,7734.963875109086
Zambia,2017,134271000000.0,17298054,7762.20261539246
Zambia,2018,139688155300.0,17835893,7831.856543431832
Zambia,2019,141701489100.0,18380477,7709.347755229638
Zambia,2020,137755024600.0,18927715,7277.953234185954
Zambia,2021,146343943000.0,19473125,7515.175042526559
Zambia,2022,154026447300.0,20017675,7694.522330890076
Zambia,2023,163010000000.0,20569737,7924.748867717657
Botswana,2004,109985699600.0,1859085,59161.200052714106
Botswana,2005,114997358200.0,1892807,60754.93074571258
Botswana,2006,124615589000.0,1928704,64611.04918121184
Botswana,2007,131834016500.0,1966977,67023.66957010682
Botswana,2008,136121354900.0,2007320,67812.48375944045
Botswana,2009,116868031100.0,2048997,57036.701908299525
Botswana,2010,128697657600.0,2091664,61528.839048719106
Botswana,2011,137498685200.0,2134037,64431.256440258534
Botswana,2012,137263698900.0,2175425,63097.41724030936
Botswana,2013,152503845500.0,2217278,68779.75855981975
Botswana,2014,161188600000.0,2260376,71310.52532852942
Botswana,2015,153368800000.0,2305171,66532.50453003269
Botswana,2016,164418139800.0,2352416,69893.3096017031
Botswana,2017,171182900000.0,2401840,71271.5667987876
Botswana,2018,178352200000.0,2451409,72754.97479204816
Botswana,2019,183760200000.0,2499702,73512.84273085352
Botswana,2020,167720226900.0,2546402,65865.57303206642
Botswana,2021,187713545500.0,2588423,72520.42865482188
Botswana,2022,198011563500.0,2630296,75281.09516951704
Botswana,2023,203419099000.0,2675352,76034.51770084833
