Country Name,Indicator,Year,Value
Botswana,Rule of Law & Justice (IIAG),2012,76.2
Botswana,Security & Safety  (IIAG),2012,90.1
Zambia,Rule of Law & Justice (IIAG),2012,57.0
Zambia,Security & Safety  (IIAG),2012,84.0
Botswana,Rule of Law & Justice (IIAG),2013,75.7
Botswana,Security & Safety  (IIAG),2013,91.5
Zambia,Rule of Law & Justice (IIAG),2013,55.6
Zambia,Security & Safety  (IIAG),2013,84.5
Botswana,Rule of Law & Justice (IIAG),2014,74.5
Botswana,Security & Safety  (IIAG),2014,91.4
Zambia,Rule of Law & Justice (IIAG),2014,54.7
Zambia,Security & Safety  (IIAG),2014,84.4
Botswana,Rule of Law & Justice (IIAG),2015,73.3
Botswana,Security & Safety  (IIAG),2015,91.2
Zambia,Rule of Law & Justice (IIAG),2015,57.4
Zambia,Security & Safety  (IIAG),2015,85.0
Botswana,Rule of Law & Justice (IIAG),2016,69.8
Botswana,Security & Safety  (IIAG),2016,90.0
Zambia,Rule of Law & Justice (IIAG),2016,56.3
Zambia,Security & Safety  (IIAG),2016,84.4
Botswana,Rule of Law & Justice (IIAG),2017,68.5
Botswana,Security & Safety  (IIAG),2017,90.3
Zambia,Rule of Law & Justice (IIAG),2017,55.8
Zambia,Security & Safety  (IIAG),2017,85.4
Botswana,Rule of Law & Justice (IIAG),2018,74.6
Botswana,Security & Safety  (IIAG),2018,89.5
Zambia,Rule of Law & Justice (IIAG),2018,55.3
Zambia,Security & Safety  (IIAG),2018,86.1
Botswana,Rule of Law & Justice (IIAG),2019,77.6
Botswana,Security & Safety  (IIAG),2019,89.9
Zambia,Rule of Law & Justice (IIAG),2019,51.7
Zambia,Security & Safety  (IIAG),2019,83.7
Botswana,Rule of Law & Justice (IIAG),2020,75.8
Botswana,Security & Safety  (IIAG),2020,88.2
Zambia,Rule of Law & Justice (IIAG),2020,50.6
Zambia,Security & Safety  (IIAG),2020,83.9
Botswana,Rule of Law & Justice (IIAG),2021,75.1
Botswana,Security & Safety  (IIAG),2021,88.3
Zambia,Rule of Law & Justice (IIAG),2021,53.0
Zambia,Security & Safety  (IIAG),2021,85.5
