Country Name,Country Code,Series Name,Series Code,Time,Time Code,Value
Zambia,ZMB,"Population, total",SP.POP.TOTL,2004,YR2004,11188040
Zambia,ZMB,"Population, total",SP.POP.TOTL,2005,YR2005,11564870
Zambia,ZMB,"Population, total",SP.POP.TOTL,2006,YR2006,11971567
Zambia,ZMB,"Population, total",SP.POP.TOTL,2007,YR2007,12402073
Zambia,ZMB,"Population, total",SP.POP.TOTL,2008,YR2008,12852966
Zambia,ZMB,"Population, total",SP.POP.TOTL,2009,YR2009,13318087
Zambia,ZMB,"Population, total",SP.POP.TOTL,2010,YR2010,13792086
Zambia,ZMB,"Population, total",SP.POP.TOTL,2011,YR2011,14265814
Zambia,ZMB,"Population, total",SP.POP.TOTL,2012,YR2012,14744658
Zambia,ZMB,"Population, total",SP.POP.TOTL,2013,YR2013,15234976
Zambia,ZMB,"Population, total",SP.POP.TOTL,2014,YR2014,15737793
Zambia,ZMB,"Population, total",SP.POP.TOTL,2015,YR2015,16248230
Zambia,ZMB,"Population, total",SP.POP.TOTL,2016,YR2016,16767761
Zambia,ZMB,"Population, total",SP.POP.TOTL,2017,YR2017,17298054
Zambia,ZMB,"Population, total",SP.POP.TOTL,2018,YR2018,17835893
Zambia,ZMB,"Population, total",SP.POP.TOTL,2019,YR2019,18380477
Zambia,ZMB,"Population, total",SP.POP.TOTL,2020,YR2020,18927715
Zambia,ZMB,"Population, total",SP.POP.TOTL,2021,YR2021,19473125
Zambia,ZMB,"Population, total",SP.POP.TOTL,2022,YR2022,20017675
Zambia,ZMB,"Population, total",SP.POP.TOTL,2023,YR2023,20569737
Botswana,BWA,"Population, total",SP.POP.TOTL,2004,YR2004,1859085
Botswana,BWA,"Population, total",SP.POP.TOTL,2005,YR2005,1892807
Botswana,BWA,"Population, total",SP.POP.TOTL,2006,YR2006,1928704
Botswana,BWA,"Population, total",SP.POP.TOTL,2007,YR2007,1966977
Botswana,BWA,"Population, total",SP.POP.TOTL,2008,YR2008,2007320
Botswana,BWA,"Population, total",SP.POP.TOTL,2009,YR2009,2048997
Botswana,BWA,"Population, total",SP.POP.TOTL,2010,YR2010,2091664
Botswana,BWA,"Population, total",SP.POP.TOTL,2011,YR2011,2134037
Botswana,BWA,"Population, total",SP.POP.TOTL,2012,YR2012,2175425
Botswana,BWA,"Population, total",SP.POP.TOTL,2013,YR2013,2217278
Botswana,BWA,"Population, total",SP.POP.TOTL,2014,YR2014,2260376
Botswana,BWA,"Population, total",SP.POP.TOTL,2015,YR2015,2305171
Botswana,BWA,"Population, total",SP.POP.TOTL,2016,YR2016,2352416
Botswana,BWA,"Population, total",SP.POP.TOTL,2017,YR2017,2401840
Botswana,BWA,"Population, total",SP.POP.TOTL,2018,YR2018,2451409
Botswana,BWA,"Population, total",SP.POP.TOTL,2019,YR2019,2499702
Botswana,BWA,"Population, total",SP.POP.TOTL,2020,YR2020,2546402
Botswana,BWA,"Population, total",SP.POP.TOTL,2021,YR2021,2588423
Botswana,BWA,"Population, total",SP.POP.TOTL,2022,YR2022,2630296
Botswana,BWA,"Population, total",SP.POP.TOTL,2023,YR2023,2675352
